nbhd_name,total_population_all,hispanic_or_latino,white,black,native_american,asian,hawaiian_pi,other_race,two_or_more,pct_hispanic,pct_white,pct_black,pct_nativeam,pct_asian,pct_hawaiianpi,pct_otherrace,pct_twoormore_races,pct_poverty,pct_fam_poverty
Athmar Park,9233,6137,2338,111,141,385,8,20,93,66.47596619,25.46269328,1.12604194,1.64491184,3.85099649,0.07606009,0.22089293,1.14243725,18.65,17.05461326
Auraria,778,176,542,11,8,0,0,10,31,22.62210797,69.66580977,1.41388175,1.02827764,0,0,1.28534704,3.98457584,0,0
Baker,6568,1567,4286,262,87,155,0,0,211,23.85809988,65.25578563,3.98903776,1.32460414,2.35992692,0,0,3.21254568,11,5.97014925
Barnum,6021,4243,1595,14,169,0,0,0,0,70.47002159,26.49061618,0.23251952,2.80684272,0,0,0,0,27.7,25.69875776
Barnum West,6145,4450,1367,181,25,59,0,0,63,72.41659886,22.24572823,2.94548413,0.40683483,0.96013019,0,0,1.02522376,10.3,9.16209867
Bear Valley,8725,2883,4692,622,40,457,0,0,31,30.83701301,57.05075142,4.99277573,0.32107883,6.17738743,0,0,0.62099359,6.5,4.25864538
Belcaro,4204,211,3669,139,0,88,0,36,61,5.0190295,87.27402474,3.30637488,0,2.09324453,0,0.85632731,1.45099905,3.3,0.85324232
Berkeley,9360,2121,6788,73,12,139,0,9,218,22.97902905,71.55385176,1.01072646,0.17187052,1.4221195,0,0.12890289,2.7334998,7.55,3.9556962
Capitol Hill,16304,1791,12553,602,74,641,0,0,643,11.01876761,76.70236864,3.94887329,0.46652716,3.84996276,0,0,4.01350054,12,5.5281516
CBD,4491,705,3204,122,28,160,0,22,250,15.69806279,71.34268537,2.7165442,0.62346916,3.56268092,0,0.48986863,5.56668893,24,6.29213483
Central Park,26922,2604,19683,1721,190,1388,19,58,1259,9.67037415,73.10815356,6.39311099,0.70133703,5.16319194,0.07115039,0.21370671,4.67897523,3.65,1.63468798
Chaffee Park,3820,1899,1750,53,9,8,21,0,80,49.71204188,45.81151832,1.38743456,0.23560209,0.20942408,0.54973822,0,2.09424084,9.7,7.17761557
Cheesman Park,9309,585,8023,211,29,141,33,1,286,5.95135656,86.01614854,2.59643974,0.41956019,1.82663182,0.28190671,0.00854263,2.89941382,9.85,1.93312435
Cherry Creek,6850,371,5820,146,0,327,0,43,143,5.41605839,84.96350365,2.13138686,0,4.77372263,0,0.62773723,2.08759124,5.5,0
City Park,3677,414,2843,304,0,87,0,0,29,11.25917868,77.31846614,8.26760946,0,2.36605929,0,0,0.78868643,12,4.57142857
City Park West,5339,731,3648,571,6,162,0,34,187,15.60914353,64.98521184,12.3077821,0.13872798,2.30998679,0,0.93818985,3.71095792,14.4,4.51637776
Civic Center,2256,215,1685,193,0,115,17,0,31,9.53014184,74.68971631,8.55496454,0,5.09751773,0.7535461,0,1.37411348,12.1,5.2631579
Clayton,4862,2423,1442,704,13,72,14,0,194,49.83545866,29.65857672,14.47963801,0.26737968,1.48087207,0.28794735,0,3.99012752,19,15.59888579
Cole,4552,2119,1694,629,18,5,0,1,86,46.55096661,37.21441125,13.81810193,0.39543058,0.10984183,0,0.02196837,1.88927944,22.1,19.13652275
College View - South Platte,8879,6736,1217,305,17,587,0,1,16,75.86439914,13.70649848,3.43507152,0.191463,6.61110485,0,0.01126253,0.18020047,28.5,23.25321409
Congress Park,11475,1296,9153,355,10,226,0,0,435,11.69096141,79.87516229,2.680959,0.10368066,2.09158726,0,0,3.55764937,9.6,1.76944453
Cory - Merrill,4502,307,3869,17,4,213,0,0,92,6.81919147,85.93958241,0.37760995,0.0888494,4.73123056,0,0,2.04353621,6.6,1.43755616
Country Club,3032,96,2800,29,46,11,0,0,50,3.16622691,92.34828496,0.95646438,1.5171504,0.36279683,0,0,1.64907652,2.1,0
DIA,1708,491,603,464,11,19,0,0,120,28.7470726,35.30444965,27.16627635,0.6440281,1.11241218,0,0,7.02576112,10.4,9.895803
East Colfax,11040,2890,3783,3161,64,764,0,0,378,27.96126745,35.85879325,26.4967653,0.52636074,5.78825581,0,0,3.36855746,18,14.78364621
Elyria Swansea,6636,5448,832,228,50,12,0,0,66,82.09764919,12.5376733,3.4358047,0.75346594,0.18083183,0,0,0.99457505,20.4,21.09199701
Five Points,18924,3035,11461,2755,98,349,0,0,1226,15.83933314,59.22012578,16.08179668,0.43215167,1.47998765,0,0,6.94660507,17.63333333,13.07870577
Fort Logan,9225,2518,6073,153,75,283,10,3,110,27.18336012,66.20309088,1.76743811,0.81455142,2.61245168,0.16860563,0.0199005,1.23060165,10.73333333,6.39585303
Gateway - Green Valley Ranch,39431,16460,9001,10315,113,2145,19,91,1287,41.68721165,23.57011341,25.95496283,0.25922434,5.0262687,0.04877297,0.22497825,3.22846785,8.625,6.44685963
Globeville,4377,2551,1453,182,10,53,0,18,110,58.28192826,33.19625314,4.15809916,0.22846699,1.21087503,0,0.41124058,2.51313685,29.6,17.89340102
Goldsmith,5827,1156,3911,479,38,110,0,5,128,19.838682,67.11858589,8.22035353,0.65213661,1.88776386,0,0.08580745,2.19667067,14.4,12.08791209
Hale,7748,908,6027,271,15,155,83,17,272,11.54043761,79.35699064,3.34452526,0.14746363,1.5237908,0.8159654,0.16712544,3.10370124,8.1,5.56006835
Hampden,20182,3019,12738,2987,4,896,32,28,478,14.93000853,63.14761677,15.06085729,0.02441406,4.12486484,0.1856317,0.10774203,2.41886477,12.875,9.12806677
Hampden South,16804,1847,12358,1336,30,784,0,36,413,10.50216072,74.12991193,7.72648022,0.16232338,5.24579318,0,0.15384615,2.05941554,5.23333333,2.45821201
Harvey Park,13338,7199,5058,310,17,639,0,7,108,54.00539433,37.95212984,2.32397347,0.11771223,4.71702304,0,0.05721759,0.82654951,14.7,12.74778747
Harvey Park South,9638,4732,3626,348,20,599,278,0,35,48.96195042,37.98524046,2.89469306,0.2538403,5.68236104,3.83236835,0,0.38954638,12.1,9.94551859
Highland,10549,2619,7290,101,211,201,0,0,127,25.19154172,68.94340669,0.95408101,1.85201446,1.9546083,0,0,1.10434783,7.65,2.84552846
Hilltop,9524,663,7835,389,48,238,19,33,299,6.86490524,82.61246418,3.80113978,0.45070423,2.43617584,0.22624434,0.3929507,3.2154157,4.05,2.71437968
Indian Creek,3927,658,2747,237,8,128,0,0,149,16.75579323,69.95161701,6.03514133,0.20371785,3.25948561,0,0,3.79424497,4.2,2.54988914
Jefferson Park,3490,964,2335,13,0,160,0,0,18,27.6217765,66.90544413,0.37249284,0,4.58452722,0,0,0.51575931,16.1,15.52
Kennedy,5228,1871,1811,849,0,617,0,0,80,35.78806427,34.64039786,16.23947972,0,11.80183627,0,0,1.53022188,11.8,5.95703125
Lincoln Park,6916,3062,2657,876,33,127,0,24,137,44.30938903,38.14862347,12.9224242,0.48656283,1.83403068,0,0.33613445,1.96283534,35.4,27.92447989
Lowry Field,8976,1206,6419,468,135,552,0,0,196,13.43582888,71.51292335,5.21390374,1.5040107,6.14973262,0,0,2.18360071,7.4,5.04818724
Mar Lee,14179,9017,3772,287,278,695,0,37,93,63.76659331,26.90626966,1.96291344,1.83493578,4.63490638,0,0.28057112,0.61381032,14.1,9.61217109
Marston,12141,2287,8546,85,17,965,0,0,241,18.95970755,69.59524609,0.68307136,0.15971439,8.69901362,0,0,1.903247,7.1,4.28061831
Montbello,37060,23771,3392,7468,149,932,148,152,1048,64.65214,9.4681963,19.43616527,0.38692242,2.43536268,0.45268245,0.4474665,2.72106438,13.62857143,13.17806889
Montclair,5739,477,4796,167,19,71,0,0,209,8.31155254,83.56856595,2.90991462,0.33106813,1.23714933,0,0,3.64174943,2.7,0
North Capitol Hill,6754,1062,4982,429,30,140,0,0,111,15.05562815,74.66692767,6.05977926,0.38769708,2.02082679,0,0,1.80914105,12.25,0
North Park Hill,10351,1035,5776,2829,0,143,42,117,409,10.09512093,55.35890432,27.60305754,0,1.3646716,0.37546934,1.15577126,4.04700503,4.35,1.14217855
Northeast Park Hill,9643,2624,2706,3526,46,102,0,6,633,27.08039295,28.09713711,36.50825821,0.50119852,1.08729405,0,0.05935892,6.66636025,22.4,18.75553613
Overland,3032,742,2093,41,0,54,0,0,102,24.47229551,69.03034301,1.35224274,0,1.78100264,0,0,3.3641161,13.7,7.20164609
Platt Park,5874,480,5084,49,0,43,0,0,218,8.17160368,86.55090228,0.83418454,0,0.7320395,0,0,3.71127,5.6,0.61141304
Regis,4868,1508,3108,57,8,82,0,0,105,30.9778143,63.84552177,1.17091208,0.16433854,1.68447001,0,0,2.1569433,16,10.01137656
Rosedale,2780,496,2070,37,8,123,0,0,46,17.84172662,74.46043165,1.33093525,0.28776978,4.42446043,0,0,1.65467626,6.9,1.54373928
Ruby Hill,11144,6699,2712,469,20,922,5,0,317,59.24429931,24.25608309,4.52362015,0.21083702,8.67650838,0.05270926,0,3.03594279,13.45,8.57489554
Skyland,3530,317,1868,1187,0,0,0,0,158,8.98016997,52.91784703,33.62606232,0,0,0,0,4.47592068,7.7,7.70020534
Sloan Lake,8189,1795,5618,389,43,175,7,0,162,20.16276212,71.07350963,5.07541397,0.35797536,1.69014449,0.16032982,0,1.47986462,13.5,11.57335114
South Park Hill,9546,673,7497,820,36,289,0,0,231,6.99120893,78.42252767,8.7573062,0.37057767,3.06163267,0,0,2.39674687,5.9,3.53062238
Southmoor Park,6045,318,5041,301,0,254,0,0,131,5.80966547,84.50400389,4.22953151,0,3.52164721,0,0,1.93515192,8,5.76204638
Speer,12061,1174,9861,236,13,457,0,10,310,9.83666326,81.9629196,1.92340341,0.10673235,3.59609689,0,0.11103709,2.4631474,9.03333333,2.42881072
Sun Valley,1437,599,146,627,27,36,0,0,2,41.68406402,10.16005567,43.63256785,1.87891441,2.50521921,0,0,0.13917885,76.8,72.31638418
